lonnrot_id	teos_wikidata_id	teos_nimi	tekija_etunimi	tekija_sukunimi	pseudonyymi	tekija_wikidata_id	vuosi	kokoteksti_linkki	genre	kokoomateoksen nimi (jos ei alkuperäinen julkaisu)	Alunperin kokoomateoksessa
136	na	Elämästä	Kasimir	Leino		Q5945346	1889	http://www.lonnrot.net/kirjat/0136.zip	lyriikka		
139	na	Runoelmia	Kaarlo	Kramsu		Q11868776	1887	http://www.lonnrot.net/kirjat/0139.zip	lyriikka		
146	na	Yksin	Juhani	Aho		Q348623	1890	http://www.lonnrot.net/kirjat/0146.zip	romaani		
143	na	Tuomio : kolminäytöksinen näytelmä	Juhani	Aho		Q348623	1907	http://www.lonnrot.net/kirjat/0143.zip	draama		
148	na	Maahengen salaisuus	Valter	Juva		Q4008356	1915	http://www.lonnrot.net/kirjat/0148.zip	romaani		
149	na	Kehitysaikana: tytöistä	Toini	Topelius		Q15042696	1890	http://www.lonnrot.net/kirjat/0149.zip	romaani		
150	Q7144796	Tulitikkuja lainaamassa	Algot	Untola	Maiju Lassila	Q2993395	1910	http://www.lonnrot.net/kirjat/0150.zip	romaani		
152	na	Mäkelän Liisu	Theodolinda	Hahnsson		Q1544350	1880	http://www.lonnrot.net/kirjat/0152.zip	romaani		
153	na	Latvasaaren kuninkaan hovilinna	Alfred Emil	Ingman		Q11850821	1916	http://www.lonnrot.net/kirjat/0153.zip	romaani		
158	na	Mataleena : laulu synnyinseudulle	Joel	Lehtonen		Q560921	1905	http://www.lonnrot.net/kirjat/0158.zip	romaani		
160	na	Kuolleeet omenapuut	Joel	Lehtonen		Q560921	1918	http://www.lonnrot.net/kirjat/0160.zip	novellit		
161	na	Purjeet sumussa	Unto	Koskela		Q5494752	1930	http://www.lonnrot.net/kirjat/0161.zip	lyriikka		
163	na	Lyhyitä kertomuksia	Minna	Canth		Q298027	1919	http://www.lonnrot.net/kirjat/0163.zip	novelleja		
164	na	Rakkautta	Algot	Untola	Maiju Lassila	Q2993395	1912	http://www.lonnrot.net/kirjat/0164.zip	romaani		
166	na	Manasse Jäppinen	Algot	Untola	Maiju Lassila	Q2993395	1912	http://www.lonnrot.net/kirjat/0166.zip	romaani		
168	na	Mimmi Paavalina	Algot	Untola	Maiju Lassila	Q2993395	1916	http://www.lonnrot.net/kirjat/0168.zip	romaani		
170	Q23699041, Q11891123	Murtovarkaus, Roinilan talossa	Minna	Canth		Q298027	1883, 1885	http://www.lonnrot.net/kirjat/0170.zip	draama		
171	 na	Pojat asialla	Algot	Untola	Maiju Lassila	Q2993395	1912	http://www.lonnrot.net/kirjat/0171.zip	romaani		
172	Q11886651, Q23870407, na	Papin perhe, Hän on Sysmästä, Spiritistinen istunto	Minna	Canth		Q298027	1891, 1893, 1894	http://www.lonnrot.net/kirjat/0172.zip	draama		
173	na	Iivana	Algot	Untola	Maiju Lassila	Q2993395	1915	http://www.lonnrot.net/kirjat/0173.zip	romaani		
174	na, Q23755018	Sylvi, Kovan onnen lapsia	Minna	Canth		Q298027	1893, 1888	http://www.lonnrot.net/kirjat/0174.zip	draama		
175	na	Nuori mylläri	Algot	Untola	Maiju Lassila	Q2993395	1912	http://www.lonnrot.net/kirjat/0175.zip	romaani		
176	na	Kerran kesällä	Joel	Lehtonen		Q560921	1917	http://www.lonnrot.net/kirjat/0176.zip	romaani		
177	na	Jaakko Jaakonpoika : romaani	Santeri	Alkio		Q2319774	1913	http://www.lonnrot.net/kirjat/0177.zip	romaani		
178	na	Vaaralla	Teuvo	Pakkala		Q1347723	1891	http://www.lonnrot.net/kirjat/0178.zip	romaani		
179	Q64415350	Murtavia voimia	Santeri	Alkio		Q2319774	1896	http://www.lonnrot.net/kirjat/0179.zip	romaani		
180	Q11889204	Puukkojunkkarit – kuvauksia nyrkkivallan ajalta	Santeri	Alkio		Q2319774	1894	http://www.lonnrot.net/kirjat/0180.zip	romaani		
182	na	Vanhoja käsikirjoituksia	Joel	Lehtonen		Q560921	1931	http://www.lonnrot.net/kirjat/0182.zip	novelleja		
183	na	Valkoinen kameeli ja muita kertomuksia itämailta	Valter	Juva		Q4008356	1916	http://www.lonnrot.net/kirjat/0183.zip	novelleja		
184	na	Mäkelän veljekset : kuvaus Hämeestä	Nestor	Niemelä		Q17382729	1887	http://www.lonnrot.net/kirjat/0184.zip	romaani		
186	na	Ilvolan juttuja : kansansatusovitelmia Suomen lapsille	Joel	Lehtonen		Q560921	1910	http://www.lonnrot.net/kirjat/0186.zip	satuja		
187	na	Tarulinna: Suomen kansan satuja Suomen lapsille uudelleen kerrottuina	Joel	Lehtonen		Q560921	1906	http://www.lonnrot.net/kirjat/0187.zip	satuja		
189	na	Paholaisen viulu	Joel	Lehtonen		Q560921	1904	http://www.lonnrot.net/kirjat/0189.zip	romaani		
190	na	Nurmeksen kapina, historiallinen kertomus Itä-Suomesta	J(ohan) A(lbert)	Bergman		Q11865405	1916	http://www.lonnrot.net/kirjat/0190.zip	romaani		
191	na	Villi: kuvitteluja	Joel	Lehtonen		Q560921	1905	http://www.lonnrot.net/kirjat/0191.zip	romaani		
198	na	Kuvaus maaseudulta	Alli	Nissinen		Q11850972	1893	http://www.lonnrot.net/kirjat/0198.zip	romaani		
199	na	Elämän havainnoita : kuvauksia kansan elämästä 1 : Uudistalo ; Halla-aamuna ; Mökin Maiju ; Noidan rangaistus	Pietari	Päivärinta		Q7192746	1880	http://www.lonnrot.net/kirjat/0199.zip	novelleja		
200	na	Tintta Jaakko : kuvaelma kansan elämästä.	Pietari	Päivärinta		Q7192746	1883	http://www.lonnrot.net/kirjat/0200.zip	romaani		
201	na	Elämän havainnoita : kuvauksia kansan elämästä 2 : Vaimoni ; Puutteen Matti	Pietari	Päivärinta		Q7192746	1800	http://www.lonnrot.net/kirjat/0201.zip	novelleja		
202	na	Elämän havainnoita : kuvauksia kansan elämästä 3 : Suku-ylpeys ; Tahdon voima	Pietari	Päivärinta		Q7192746	1882	http://www.lonnrot.net/kirjat/0202.zip	novelleja		
204	na	Elämän havainnoita : kuvauksia kansan elämästä 4 : Kontti-Anna ; Ruoti-ukko	Pietari	Päivärinta		Q7192746	1883	http://www.lonnrot.net/kirjat/0204.zip	novelleja		
206	 na	Elämän havainnoita : kuvauksia kansan elämästä 5 : Kirjailija ; Mutta elääpä hän wielä sittenkin ; Wäärä mammona.	Pietari	Päivärinta		Q7192746	1884	http://www.lonnrot.net/kirjat/0206.zip	novelleja		
210	na	Veljekset	Arvid	Järnefelt		Q717186	1900	http://www.lonnrot.net/kirjat/0210.zip	novelleja		
211	na	Pilven hattaroita 2	Matti	Kurikka		Q6791696	1889	http://www.lonnrot.net/kirjat/0211.zip	romaani		
212	na	Pohjan-piltti kuvaus lopulta 13:tta vuosisataa	Yrjö Sakari	Yrjö-Koskinen		Q3771268	1891	http://www.lonnrot.net/kirjat/0212.zip	romaani		
225	na	Kootut teokset I : Runoelmia	Juhana Heikki	Erkko		Q5629029	1908	http://www.lonnrot.net/kirjat/0225.zip	lyriikka		
226	na	Vanhoista kätköistä	Emil	Nervander		Q4992957	1906	http://www.lonnrot.net/kirjat/0226.zip	romaani		
227	na	Kootut teokset II : Runoelmia	Juhana Heikki	Erkko		Q5629029	1910	http://www.lonnrot.net/kirjat/0227.zip	lyriikka		
228	na	Elämän havainnoita : kuvauksia kansan elämästä 6 : Rakkauden suurin uhri ; Sortunut ; Olkkos-Kaisa	Pietari	Päivärinta		Q7192746	1886	http://www.lonnrot.net/kirjat/0228.zip	novelleja 		
229	na	Elämäni : perhe-elämällinen kertomus	Pietari	Päivärinta		Q7192746	1877	http://www.lonnrot.net/kirjat/0229.zip	novelleja		
230	na	Vaihdokas, kuvauksia vanhan kansan elämästä	Juho	Reijonen		Q6066966	1884	http://www.lonnrot.net/kirjat/0230.zip	romaani		
